Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,DateTime,hour,day_of_week,month,is_weekend,GAP_rolling_mean_60,GAP_rolling_mean_120,GAP_diff_1,GAP_diff_60,sub_metering_total
0.256,0.106,242.0,1.2,0.0,0.0,1.0,2010-07-07 18:10:00,18,2,7,0,0.37399999999999994,0.36205,-0.0020000000000000018,-0.08200000000000002,1.0
0.466,0.352,237.22,2.4,0.0,2.0,0.0,2007-05-14 06:50:00,6,0,5,0,0.2965666666666667,0.2933833333333333,-0.007999999999999952,0.16400000000000003,2.0
0.758,0.194,238.66,3.2,0.0,1.0,0.0,2007-09-26 18:10:00,18,2,9,0,1.1393666666666666,1.4545833333333331,-0.05799999999999994,0.14,1.0
1.29,0.046,240.64,5.4,1.0,0.0,18.0,2007-06-19 07:30:00,7,1,6,0,1.4885333333333333,1.0819999999999999,0.06000000000000005,-0.8759999999999999,19.0
0.428,0.202,242.23,1.8,0.0,2.0,1.0,2010-05-10 04:43:00,4,0,5,0,0.3738333333333334,0.37156666666666666,-0.0040000000000000036,-0.54,3.0
0.224,0.116,242.51,1.0,0.0,0.0,1.0,2009-08-13 09:54:00,9,3,8,0,0.224,0.224,0.0,0.0,1.0
1.206,0.302,242.1,5.0,0.0,1.0,12.0,2010-10-09 23:53:00,23,5,10,1,0.6648999999999999,1.0797166666666667,-0.020000000000000018,0.614,13.0
0.182,0.12,241.84,0.8,0.0,1.0,0.0,2007-08-27 17:28:00,17,0,8,0,0.24486666666666668,0.2562,-0.0020000000000000018,-0.08800000000000002,1.0
1.792,0.068,242.39,7.4,0.0,0.0,18.0,2009-01-26 14:08:00,14,0,1,0,1.8763666666666667,1.94755,-0.04600000000000004,-0.17399999999999993,18.0
0.474,0.328,242.28,2.2,0.0,1.0,1.0,2009-10-05 06:40:00,6,0,10,0,0.32733333333333337,0.3334666666666667,0.0020000000000000018,0.06,2.0
0.906,0.0,239.25,3.8,0.0,0.0,1.0,2010-08-18 13:41:00,13,2,8,0,0.906,0.906,0.0,0.0,1.0
0.214,0.12,240.88,1.0,0.0,2.0,0.0,2007-09-03 15:19:00,15,0,9,0,0.24206666666666665,0.22598333333333334,0.017999999999999988,-0.06400000000000003,2.0
0.828,0.424,241.85,3.8,0.0,2.0,1.0,2009-05-17 14:59:00,14,6,5,1,1.4469666666666667,1.2586833333333334,-0.014000000000000012,-0.7300000000000001,3.0
2.604,0.084,237.54,11.0,0.0,0.0,17.0,2008-12-07 18:32:00,18,6,12,1,2.3472333333333335,2.0227,0.01200000000000001,1.042,17.0
1.778,0.092,237.74,7.4,0.0,0.0,18.0,2008-09-24 07:03:00,7,2,9,0,1.6168333333333333,1.0299333333333334,-0.1359999999999999,1.464,18.0
0.424,0.31,245.84,2.2,0.0,0.0,0.0,2007-01-07 04:08:00,4,6,1,1,0.31816666666666665,0.32221666666666665,0.0,0.16999999999999998,0.0
0.794,0.064,232.34,3.6,0.0,0.0,0.0,2007-05-29 09:14:00,9,1,5,0,1.5227666666666668,1.3125666666666667,-0.0020000000000000018,-0.526,0.0
0.146,0.048,242.4,0.6,0.0,0.0,1.0,2010-09-26 02:12:00,2,6,9,1,0.146,0.146,0.0,0.0,1.0
0.204,0.104,240.49,1.0,0.0,0.0,0.0,2007-09-20 14:40:00,14,3,9,0,0.24259999999999998,0.20206666666666667,-0.0020000000000000018,-0.060000000000000026,0.0
1.526,0.314,238.38,6.4,0.0,2.0,18.0,2008-04-30 18:50:00,18,2,4,0,0.6117333333333334,0.4611,0.0,1.19,20.0
1.474,0.0,239.12,6.0,0.0,0.0,1.0,2010-10-10 18:10:00,18,6,10,1,1.6339333333333335,1.3790833333333332,0.0020000000000000018,0.06400000000000006,1.0
0.264,0.0,244.03,1.0,0.0,0.0,1.0,2009-04-10 15:38:00,15,4,4,0,0.9271666666666667,1.2439333333333336,0.0020000000000000018,-1.168,1.0
1.508,0.0,244.68,6.0,0.0,0.0,18.0,2007-01-25 14:39:00,14,3,1,0,1.1119333333333332,0.7123000000000002,0.0020000000000000018,1.068,18.0
0.244,0.12,241.53,1.0,0.0,0.0,1.0,2008-09-25 18:54:00,18,3,9,0,0.3058333333333334,0.27111666666666673,0.0020000000000000018,0.094,1.0
0.668,0.22,243.99,2.8,0.0,0.0,0.0,2009-04-09 17:32:00,17,3,4,0,0.43836666666666674,0.42150000000000004,-0.0020000000000000018,0.30800000000000005,0.0
0.242,0.0,241.77,1.0,0.0,0.0,0.0,2008-03-19 12:17:00,12,2,3,0,0.9864999999999999,0.69635,0.0020000000000000018,-0.043999999999999984,0.0
0.224,0.0,242.6,1.0,0.0,0.0,0.0,2007-03-10 02:10:00,2,5,3,1,0.27313333333333334,0.31033333333333335,0.0,-0.158,0.0
0.174,0.148,239.51,0.8,0.0,0.0,1.0,2008-08-21 01:22:00,1,3,8,0,0.2104333333333334,0.17866666666666664,0.0,-0.16999999999999998,1.0
1.432,0.202,238.13,6.0,0.0,1.0,17.0,2009-02-25 12:26:00,12,2,2,0,1.3180000000000003,1.3294333333333335,0.008000000000000007,0.05799999999999983,18.0
0.162,0.0,244.6,0.6,0.0,0.0,1.0,2008-06-11 18:13:00,18,2,6,0,0.6984666666666667,0.50425,0.0,-0.254,1.0
4.078,0.09,234.53,17.4,36.0,0.0,17.0,2009-03-25 22:10:00,22,2,3,0,2.0399000000000003,2.3504333333333336,-0.06799999999999962,2.6980000000000004,53.0
0.452,0.084,243.49,1.8,0.0,0.0,0.0,2009-08-19 09:48:00,9,2,8,0,1.1448333333333334,1.2678,0.0020000000000000018,-1.7240000000000002,0.0
0.426,0.16,239.95,1.8,0.0,1.0,0.0,2007-10-04 18:28:00,18,3,10,0,0.28586666666666666,0.28441666666666665,-0.0040000000000000036,0.22,1.0
0.3,0.064,239.71,1.2,0.0,0.0,0.0,2009-02-18 00:59:00,0,2,2,0,0.38700000000000007,0.38020000000000004,-0.0020000000000000018,-0.138,0.0
3.198,0.24,238.68,13.6,0.0,26.0,18.0,2008-06-21 16:07:00,16,5,6,1,2.4409333333333336,2.920733333333333,-0.20400000000000018,1.268,44.0
